x,y
0.0,0.0
12.7,7.7
25.4,14.6
38.9,21.0
52.8,26.7
66.9,31.5
80.7,36.2
93.6,40.7
105.7,44.9
117.5,49.2
128.4,52.0
139.6,52.3
151.1,53.9
162.9,56.0
175.4,57.9
188.5,59.7
202.7,60.7
216.8,61.8
230.9,63.5
244.3,64.9
257.8,66.7
271.0,68.2
284.3,70.2
297.9,72.4
311.7,74.6
325.7,76.6
339.6,78.6
353.6,81.1
367.4,83.4
381.4,85.3
396.1,87.8
411.5,90.0
426.8,91.9
442.1,93.3
458.1,95.5
474.1,97.2
490.4,98.8
506.8,100.6
523.4,102.7
539.9,104.2
556.1,105.5
572.1,106.9
587.6,108.1
603.1,109.2
618.8,110.3
635.2,111.4
652.1,112.5
669.1,113.2
686.7,114.5
704.8,115.8
723.0,116.6
740.9,117.4
758.8,118.6
776.4,119.6
793.9,120.9
810.6,121.6
827.7,123.2
845.3,125.0
863.0,127.2
881.1,130.4
899.3,134.2
917.8,138.4
935.7,142.7
952.6,146.2
968.9,150.6
983.6,154.0
997.1,155.7
1010.4,154.5
1023.6,150.0
1036.6,142.2
1050.4,133.7
1065.2,125.1
1080.1,116.1
1095.0,107.6
1109.3,98.1
1122.7,87.8
1135.0,76.0
1146.3,63.3
1156.6,51.3
1165.3,40.8
1171.9,31.7
1176.3,26.4
1180.2,24.4
1183.8,26.5
1189.0,35.7
1194.3,46.2
1200.4,57.7
1207.0,68.9
1214.3,80.2
1221.7,91.4
1229.2,102.1
1236.5,112.5
1243.9,122.0
1251.9,130.0
1261.4,136.8
1272.8,142.3
1284.7,147.1
1296.6,151.5
1307.7,156.4
1318.4,163.4
1328.3,171.5
1337.9,180.6
1348.8,192.3
1359.9,203.7
1371.3,214.9
1382.9,225.7
1394.2,237.1
1405.1,250.1
1414.7,263.7
1423.0,278.4
1430.1,294.7
1434.9,310.6
1438.2,326.7
1441.6,342.8
1444.8,358.6
1448.0,374.8
1451.3,391.5
1454.5,408.2
1458.1,425.7
1461.8,443.7
1465.9,461.9
1469.5,479.3
1472.8,497.1
1474.9,514.2
1476.0,530.9
1476.3,547.7
1476.5,564.6
1476.6,580.9
1476.8,596.4
1477.4,611.6
1478.7,626.4
1481.0,640.4
1484.5,654.5
1489.0,668.3
1494.4,681.7
1499.7,695.2
1503.9,708.5
1505.5,722.1
1506.2,736.3
1506.0,750.7
1505.4,764.8
1504.5,778.6
1503.4,792.2
1502.3,805.6
1502.0,818.7
1503.2,831.9
1506.2,845.5
1509.5,858.9
1512.7,872.9
1515.0,887.1
1517.1,901.5
1519.6,915.7
1522.8,929.9
1526.2,943.1
1530.2,955.8
1536.2,969.2
1542.8,983.0
1549.8,996.6
1557.0,1012.1
1563.7,1027.7
1569.9,1042.8
1577.6,1058.3
1585.1,1074.0
1592.3,1089.7
1599.1,1105.7
1605.9,1121.2
1613.1,1136.9
1619.9,1152.3
1626.5,1166.8
1633.0,1181.0
1639.2,1194.8
1645.9,1209.3
1652.8,1224.7
1659.8,1240.1
1666.5,1255.6
1672.5,1269.8
1678.3,1283.3
1684.1,1295.5
1691.7,1307.0
1701.2,1316.1
1712.0,1324.8
1722.2,1332.6
1731.8,1340.3
1741.9,1349.0
1751.2,1358.5
1759.7,1368.2
1768.3,1377.8
1778.2,1387.4
1789.2,1396.0
1801.0,1403.2
1813.6,1410.6
1826.6,1418.2
1839.9,1426.2
1853.2,1434.6
1866.8,1443.0
1880.6,1451.1
1894.9,1459.6
1909.0,1468.7
1922.2,1478.2
1934.6,1488.6
1946.4,1499.3
1958.5,1511.1
1970.8,1522.8
1982.7,1534.6
1994.6,1546.5
2006.2,1558.1
2017.5,1568.9
2027.9,1578.7
2037.0,1587.3
2045.0,1595.1
2051.7,1600.6
2056.4,1604.2
2057.7,1605.2
2057.2,1604.2
2058.0,1605.0
2059.7,1605.4
2062.7,1604.9
2066.5,1603.4
2073.4,1602.0
2081.6,1599.7
2091.6,1598.8
2102.7,1598.4
2116.0,1599.1
2129.8,1598.7
2143.4,1597.5
2157.8,1595.6
2172.4,1592.9
2187.8,1591.2
2203.4,1590.5
2218.7,1590.1
2234.8,1591.0
2251.1,1592.0
2267.9,1592.7
2285.5,1594.2
2303.7,1595.6
2322.5,1597.8
2341.3,1600.1
2360.4,1603.4
2379.7,1606.7
2399.8,1611.4
2420.1,1616.2
2440.1,1620.4
2460.0,1625.1
2479.4,1629.2
2499.3,1633.5
2518.8,1637.2
2538.3,1640.8
2557.2,1644.1
2575.6,1647.7
2593.5,1651.6
2611.2,1655.2
2628.4,1658.7
2645.0,1661.8
